Year,Household,Ratio,Units,Value
2020,Income in the past 12 months below poverty level,,Percent by income below poverty level,28.45
2020,Married-couple family,,Percent by income below poverty level,1.17
2020,Other family - male householder (no wife present),,Percent by income below poverty level,1.17
2020,Other family - female householder (no husband present),,Percent by income below poverty level,3.52
2020,Nonfamily household - male householder,,Percent by income below poverty level,11.74
2020,Nonfamily household - female householder,,Percent by income below poverty level,10.85
2020,Income in the past 12 months at or above poverty level,,Percent by income at or above poverty level,71.55
2020,Married-couple family,,Percent by income at or above poverty level,38.67
2020,Other family - male householder (no wife present),,Percent by income at or above poverty level,2.57
2020,Other family - female householder (no husband present),,Percent by income at or above poverty level,5.57
2020,Nonfamily household - male householder,,Percent by income at or above poverty level,13.66
2020,Nonfamily household - female householder,,Percent by income at or above poverty level,11.08
2020,,Under .50,Population by ratio of income to poverty level ,18.50
2020,,.50 to .99,Population by ratio of income to poverty level ,8.78
2020,,1.00 to 1.24,Population by ratio of income to poverty level ,4.22
2020,,1.25 to 1.49,Population by ratio of income to poverty level ,2.79
2020,,1.50 to 1.84,Population by ratio of income to poverty level ,5.70
2020,,1.85 to 1.99,Population by ratio of income to poverty level ,1.19
2020,,2.00 and over,Population by ratio of income to poverty level ,58.81
