Year,Group,Value,,,,,,,
2000,Owner Occupied Housing Units,39.10%,,,,,,,
2000,Renter Occupied Housing Units,53.10%,,,,,,,
2000,Vacant Housing Units,7.70%,,,,,,,
2010,Owner Occupied Housing Units,39.70%,,,,,,,
2010,Renter Occupied Housing Units,50.00%,,,,,,,
2010,Vacant Housing Units,10.30%,,,,,,,
2020,Owner Occupied Housing Units,37.90%,,,,,,,
2020,Renter Occupied Housing Units,51.60%,,,,,,,
2020,Vacant Housing Units,10.60%,,,,,,,
2025,Owner Occupied Housing Units,38.10%,,,,,,,
2025,Renter Occupied Housing Units,51.60%,,,,,,,
2025,Vacant Housing Units,10.30%,,,,,,,
,,,,,,,,,
,https://www.auburnalabama.org/retail/Auburn%20Demographic%20Profile.pdf,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
