Year,Health Coverage,Gender,Health Insurance by Gender and Age,Value
2013,Private,Male,22769,49.44515625
2013,Private,Female,23280,50.55484375
2013,Public,Male,3591,45.28373266
2013,Public,Female,4339,54.71626734
2013,Medicaid,Under 18 Years,2347,74.4842907
2013,Medicaid,18 to 34 Years,504,15.99492225
2013,Medicaid,35 to 64 Years,265,8.410028562
2013,Medicaid,65 Years & Over,35,1.110758489
2013,Medicare,Under 18 Years,83,3.182515337
2013,Medicare,18 to 34 Years,39,1.495398773
2013,Medicare,35 to 64 Years,144,5.521472393
2013,Medicare,65 Years & Over,2342,89.8006135
2013,Employer,Under 18 Years,6002,17.50721932
2013,Employer,18 to 34 Years,18811,54.86976052
2013,Employer,35 to 64 Years,9379,27.35758248
2013,Employer,65 Years & Over,91,0.26543768
2013,OtherPublic,Under 18 Years,161,16.98312236
2013,OtherPublic,18 to 34 Years,456,48.10126582
2013,OtherPublic,35 to 64 Years,316,33.33333333
2013,OtherPublic,65 Years & Over,15,1.582278481
2013,NonGroup,Under 18 Years,890,9.921962096
2013,NonGroup,18 to 34 Years,5289,58.9632107
2013,NonGroup,35 to 64 Years,1697,18.91861761
2013,NonGroup,65 Years & Over,1094,12.19620959
2013,Uninsured,Under 18 Years,320,6.109201985
2013,Uninsured,18 to 34 Years,3796,72.47040855
2013,Uninsured,35 to 64 Years,1108,21.15311187
2013,Uninsured,65 Years & Over,14,0.267277587
2014,Private,Male,23595,49.49342395
2014,Private,Female,24078,50.50657605
2014,Public,Male,3835,44.77002101
2014,Public,Female,4731,55.22997899
2014,Medicaid,Under 18 Years,2651,68.75
2014,Medicaid,18 to 34 Years,657,17.03838174
2014,Medicaid,35 to 64 Years,483,12.52593361
2014,Medicaid,65 Years & Over,65,1.685684647
2014,Medicare,Under 18 Years,49,1.986218079
2014,Medicare,18 to 34 Years,33,1.337657073
2014,Medicare,35 to 64 Years,158,6.404539927
2014,Medicare,65 Years & Over,2227,90.27158492
2014,Employer,Under 18 Years,6138,17.2585407
2014,Employer,18 to 34 Years,19147,53.83663714
2014,Employer,35 to 64 Years,10092,28.37621257
2014,Employer,65 Years & Over,188,0.528609588
2014,OtherPublic,Under 18 Years,222,23.125
2014,OtherPublic,18 to 34 Years,431,44.89583333
2014,OtherPublic,35 to 64 Years,282,29.375
2014,OtherPublic,65 Years & Over,25,2.604166667
2014,NonGroup,Under 18 Years,780,8.283772302
2014,NonGroup,18 to 34 Years,5986,63.57264231
2014,NonGroup,35 to 64 Years,1559,16.55692438
2014,NonGroup,65 Years & Over,1091,11.586661
2014,Uninsured,Under 18 Years,82,1.819795828
2014,Uninsured,18 to 34 Years,3526,78.25122059
2014,Uninsured,35 to 64 Years,879,19.50732357
2014,Uninsured,65 Years & Over,19,0.421660009
2015,Private,Male,24555,49.89332521
2015,Private,Female,24660,50.10667479
2015,Public,Male,4231,44.51341399
2015,Public,Female,5274,55.48658601
2015,Medicaid,Under 18 Years,2786,67.34348562
2015,Medicaid,18 to 34 Years,638,15.42180324
2015,Medicaid,35 to 64 Years,589,14.23737007
2015,Medicaid,65 Years & Over,124,2.997341068
2015,Medicare,Under 18 Years,56,1.902820251
2015,Medicare,18 to 34 Years,108,3.669724771
2015,Medicare,35 to 64 Years,244,8.290859667
2015,Medicare,65 Years & Over,2535,86.13659531
2015,Employer,Under 18 Years,6573,18.03787047
2015,Employer,18 to 34 Years,19303,52.97200878
2015,Employer,35 to 64 Years,10388,28.50713502
2015,Employer,65 Years & Over,176,0.48298573
2015,OtherPublic,Under 18 Years,155,17.27982163
2015,OtherPublic,18 to 34 Years,461,51.393534
2015,OtherPublic,35 to 64 Years,253,28.20512821
2015,OtherPublic,65 Years & Over,28,3.121516165
2015,NonGroup,Under 18 Years,1172,11.65821148
2015,NonGroup,18 to 34 Years,6161,61.2851885
2015,NonGroup,35 to 64 Years,1690,16.81090222
2015,NonGroup,65 Years & Over,1030,10.2456978
2015,Uninsured,Under 18 Years,86,2.132936508
2015,Uninsured,18 to 34 Years,3027,75.07440476
2015,Uninsured,35 to 64 Years,902,22.37103175
2015,Uninsured,65 Years & Over,17,0.421626984
2016,Private,Male,25655,50.0741695
2016,Private,Female,25579,49.9258305
2016,Public,Male,4444,44.19252188
2016,Public,Female,5612,55.80747812
2016,Medicaid,Under 18 Years,2618,65.20547945
2016,Medicaid,18 to 34 Years,714,17.78331258
2016,Medicaid,35 to 64 Years,541,13.47447073
2016,Medicaid,65 Years & Over,142,3.536737235
