Year,Units,Value
2002,Total real gross domestic product in millions of chained 2012 dollars,3114.486
2004,Total real gross domestic product in millions of chained 2012 dollars,3713.798
2006,Total real gross domestic product in millions of chained 2012 dollars,4039.378
2008,Total real gross domestic product in millions of chained 2012 dollars,4233.694
2010,Total real gross domestic product in millions of chained 2012 dollars,4291.653
2012,Total real gross domestic product in millions of chained 2012 dollars,4848.573
2014,Total real gross domestic product in millions of chained 2012 dollars,4935.2
2016,Total real gross domestic product in millions of chained 2012 dollars,5267.271
2018,Total real gross domestic product in millions of chained 2012 dollars,5378.758
2020,Total real gross domestic product in millions of chained 2012 dollars,5605.471
