Year,Type,Unit,Value,
2020,"Total, all occupations",mean hourly wages indollars,20.68,
2020,Management,mean hourly wages indollars,52.34,
2020,Business and financial operations,mean hourly wages indollars,32.23,
2020,Computer and mathematical,mean hourly wages indollars,34.2,
2020,Architecture and engineering,mean hourly wages indollars,34.8,
2020,"Life, physical, and social science",mean hourly wages indollars,26.36,
2020,Community and social service,mean hourly wages indollars,23.24,
2020,Legal,mean hourly wages indollars,36.67,
2020,Educational instruction and library,mean hourly wages indollars,31.96,
2020,"Arts, design, entertainment, sports, and media",mean hourly wages indollars,27.18,
2020,Healthcare practitioners and technical,mean hourly wages indollars,32.41,
2020,Healthcare support,mean hourly wages indollars,12.25,
2020,Protective service,mean hourly wages indollars,20.89,
2020,Food preparation and serving related,mean hourly wages indollars,10.81,
2020,Building and grounds cleaning and maintenance,mean hourly wages indollars,13.51,
2020,Personal care and service,mean hourly wages indollars,13.11,
2020,Sales and related,mean hourly wages indollars,15.78,
2020,Office and administrative support,mean hourly wages indollars,17.12,
2020,"Farming, fishing, and forestry",mean hourly wages indollars,16.18,
2020,Construction and extraction,mean hourly wages indollars,18.6,
2020,"Installation, maintenance, and repair",mean hourly wages indollars,22.07,
2020,Production,mean hourly wages indollars,16.34,
2020,Transportation and material moving,mean hourly wages indollars,15.24,
