Year,Health Coverage,Gender,Age,Health Insurance by Gender and Age,Units,Value
2013,Private,Male,,22769,Percent,49.44515625
2013,Private,Female,,23280,Percent,50.55484375
2013,Public,Male,,3591,Percent,45.28373266
2013,Public,Female,,4339,Percent,54.71626734
2013,Medicaid,,Under 18 Years,2347,Percent,74.4842907
2013,Medicaid,,18 to 34 Years,504,Percent,15.99492225
2013,Medicaid,,35 to 64 Years,265,Percent,8.410028562
2013,Medicaid,,65 Years & Over,35,Percent,1.110758489
2013,Medicare,,Under 18 Years,83,Percent,3.182515337
2013,Medicare,,18 to 34 Years,39,Percent,1.495398773
2013,Medicare,,35 to 64 Years,144,Percent,5.521472393
2013,Medicare,,65 Years & Over,2342,Percent,89.8006135
2013,Employer,,Under 18 Years,6002,Percent,17.50721932
2013,Employer,,18 to 34 Years,18811,Percent,54.86976052
2013,Employer,,35 to 64 Years,9379,Percent,27.35758248
2013,Employer,,65 Years & Over,91,Percent,0.26543768
2013,OtherPublic,,Under 18 Years,161,Percent,16.98312236
2013,OtherPublic,,18 to 34 Years,456,Percent,48.10126582
2013,OtherPublic,,35 to 64 Years,316,Percent,33.33333333
2013,OtherPublic,,65 Years & Over,15,Percent,1.582278481
2013,NonGroup,,Under 18 Years,890,Percent,9.921962096
2013,NonGroup,,18 to 34 Years,5289,Percent,58.9632107
2013,NonGroup,,35 to 64 Years,1697,Percent,18.91861761
2013,NonGroup,,65 Years & Over,1094,Percent,12.19620959
2013,Uninsured,,Under 18 Years,320,Percent,6.109201985
2013,Uninsured,,18 to 34 Years,3796,Percent,72.47040855
2013,Uninsured,,35 to 64 Years,1108,Percent,21.15311187
2013,Uninsured,,65 Years & Over,14,Percent,0.267277587
2014,Private,Male,,23595,Percent,49.49342395
2014,Private,Female,,24078,Percent,50.50657605
2014,Public,Male,,3835,Percent,44.77002101
2014,Public,Female,,4731,Percent,55.22997899
2014,Medicaid,,Under 18 Years,2651,Percent,68.75
2014,Medicaid,,18 to 34 Years,657,Percent,17.03838174
2014,Medicaid,,35 to 64 Years,483,Percent,12.52593361
