Year,Value,Units
2019,19.97,Population <18 in Households
2019,19.7,Have a Computer
2019,0.2,Have NO Computer
2019,71.5,Population 18-64 in Households
2019,70.6,Have a Computer
2019,0.9,Have NO Computer
2019,8.6,Population 65+ in Households
2019,7.5,Have a Computer
2019,1.1,Have NO Computer
2019,87.1,With an Internet Subscription
2019,0.3,Dial-Up Alone
2019,78.2,Broadband
2019,7.5,Satellite Service
2019,0.9,Other Service
2019,6.6,Internet Access with no Subscription
2019,6.3,With No Internet Access
2019,79.4,Drove alone
2019,8.9,Carpooled
2019,1.5,Public transportation (excluding taxicab)
2019,1.5,Bus or trolley bus
2019,0.0,"Light rail, streetcar or trolley"
2019,0.0,Subway or elevated
2019,0.0,Long-distance/Commuter Train
2019,0.0,Ferryboat
2019,0.1,Taxicab
2019,0.2,Motorcycle
2019,0.5,Bicycle
2019,4.7,Walked
2019,0.5,Other means
2019,4.0,Worked at home
