Year,Value,Units
1999,11,Number of deaths by county
2000,14,Number of deaths by county
2001,7,Number of deaths by county
2002,10,Number of deaths by county
2003,14,Number of deaths by county
2004,13,Number of deaths by county
2005,8,Number of deaths by county
2006,10,Number of deaths by county
2007,7,Number of deaths by county
2008,14,Number of deaths by county
2009,9,Number of deaths by county
2010,14,Number of deaths by county
2011,11,Number of deaths by county
2012,21,Number of deaths by county
2013,19,Number of deaths by county
2014,20,Number of deaths by county
2015,17,Number of deaths by county
2016,17,Number of deaths by county
2017,21,Number of deaths by county
2018,23,Number of deaths by county
2019,24,Number of deaths by county
2020,21,Number of deaths by county
