Year,Race,Coverage,Units,Value
2019,,Alabama,Rate of births by state,6.8
2019,White,Alabama,Rate of births by state,5.9
2019,Black,Alabama,Rate of births by state,8.7
2019,Other,Alabama,Rate of births by state,6.4
2020,,Alabama,Rate of births by state,6.7
2020,White,Alabama,Rate of births by state,5.8
2020,Black,Alabama,Rate of births by state,8.3
2020,Other,Alabama,Rate of births by state,6.9
2021,,Alabama,Rate of births by state,6.4
2021,White,Alabama,Rate of births by state,5.4
2021,Black,Alabama,Rate of births by state,8.5
2021,Other,Alabama,Rate of births by state,6.8
