Year,Race,Value
1999,,3
1999,White,1
1999,Black,2
1999,Other,0
2000,,3
2000,White,0
2000,Black,3
2000,Other,0
2001,,3
2001,White,0
2001,Black,3
2001,Other,0
2002,,5
2002,White,1
2002,Black,4
2002,Other,0
2003,,3
2003,White,1
2003,Black,2
2003,Other,0
2004,,2
2004,White,1
2004,Black,1
2004,Other,0
2005,,5
2005,White,3
2005,Black,2
2005,Other,0
2006,,7
2006,White,3
2006,Black,4
2006,Other,0
2007,,4
2007,White,1
2007,Black,3
2007,Other,0
2008,,3
2008,White,1
2008,Black,2
2008,Other,0
2009,,7
2009,White,1
2009,Black,5
2009,Other,1
2010,,3
2010,White,1
2010,Black,2
2010,Other,0
2011,,1
2011,White,1
2011,Black,0
2011,Other,0
2012,,2
2012,White,1
2012,Black,1
2012,Other,0
2013,,3
2013,White,1
2013,Black,2
2013,Other,0
2014,,6
2014,White,5
2014,Black,1
2014,Other,0
2015,,2
2015,White,0
2015,Black,2
2015,Other,0
2016,,4
2016,White,0
2016,Black,4
2016,Other,0
2017,,1
2017,White,0
2017,Black,1
2017,Other,0
2018,,7
2018,White,2
2018,Black,5
2018,Other,0
2019,,1
2019,White,1
2019,Black,0
2019,Other,0
2020,,4
2020,White,2
2020,Black,2
2020,Other,0
