Year,Value,Units
2010,14.3,Percent by Age
2010,14.3,Percent by Gender
2010,14.3,Percent by Race
2010,3.6,Percent by Education
2010,17.4,Percentage by Employment
2011,15.0,Percent by Age
2011,15.0,Percent by Gender
2011,15.0,Percent by Race
2011,3.9,Percent by Education
2011,18.3,Percentage by Employment
2012,15.2,Percent by Age
2012,15.2,Percent by Gender
2012,15.2,Percent by Race
2012,3.4,Percent by Education
2012,18.8,Percentage by Employment
2013,16.6,Percent by Age
2013,16.6,Percent by Gender
2013,16.6,Percent by Race
2013,3.8,Percent by Education
2013,20.1,Percentage by Employment
2014,19.0,Percent by Age
2014,19.0,Percent by Gender
2014,19.0,Percent by Race
2014,4.6,Percent by Education
2014,22.7,Percentage by Employment
2015,19.8,Percent by Age
2015,19.8,Percent by Gender
2015,19.8,Percent by Race
2015,5.5,Percent by Education
2015,23.6,Percentage by Employment
2016,19.2,Percent by Age
2016,19.2,Percent by Gender
2016,19.2,Percent by Race
2016,5.5,Percent by Education
2016,23.0,Percentage by Employment
2017,19.6,Percent by Age
2017,19.6,Percent by Gender
2017,19.6,Percent by Race
2017,6.2,Percent by Education
2017,23.3,Percentage by Employment
2018,19.5,Percent by Age
2018,19.5,Percent by Gender
2018,19.5,Percent by Race
2018,6.2,Percent by Education
2018,23.4,Percentage by Employment
2019,18.5,Percent by Age
2019,18.5,Percent by Gender
2019,18.5,Percent by Race
2019,5.8,Percent by Education
2019,22.2,Percentage by Employment
2020,17.2,Percent by Age
2020,17.2,Percent by Gender
2020,17.2,Percent by Race
2020,6.5,Percent by Education
2020,21.1,Percentage by Employment
2021,16.7,Percent by Age
2021,16.7,Percent by Gender
2021,16.7,Percent by Race
2021,7.1,Percent by Education
2021,20.4,Percentage by Employment
