Year,Value,Units
2002,3114.486,Total real gross domestic product in millions of chained 2012 dollars
2004,3713.798,Total real gross domestic product in millions of chained 2012 dollars
2006,4039.378,Total real gross domestic product in millions of chained 2012 dollars
2008,4233.694,Total real gross domestic product in millions of chained 2012 dollars
2010,4291.653,Total real gross domestic product in millions of chained 2012 dollars
2012,4848.573,Total real gross domestic product in millions of chained 2012 dollars
2014,4935.2,Total real gross domestic product in millions of chained 2012 dollars
2016,5267.271,Total real gross domestic product in millions of chained 2012 dollars
2018,5378.758,Total real gross domestic product in millions of chained 2012 dollars
2020,5605.471,Total real gross domestic product in millions of chained 2012 dollars
