Value,Disaggregation combinations using this value,Number of indicators
0,2,1
10092,1,1
101,1,1
10227,1,1
1030,1,1
10388,1,1
106,1,1
10655,1,1
108,1,1
1091,1,1
1094,1,1
11001,1,1
1108,1,1
1123,1,1
11686,1,1
1170,1,1
1172,1,1
1197,1,1
12058,1,1
124,1,1
1245,1,1
1257,1,1
13389,1,1
14,1,1
140,1,1
142,1,1
144,1,1
146,1,1
1472,1,1
15,2,1
150,1,1
154,1,1
155,1,1
1559,1,1
158,1,1
161,1,1
167,2,1
1690,1,1
1697,1,1
17,1,1
1704,1,1
171,1,1
17462,1,1
176,1,1
17614,1,1
18,1,1
18175,1,1
18339,1,1
186,1,1
1868,1,1
188,1,1
18811,1,1
19,1,1
19147,1,1
19167,1,1
193,1,1
19303,1,1
196,1,1
199,1,1
2004,1,1
2044,1,1
2045,1,1
205,1,1
21,1,1
212,1,1
2147,1,1
2188,1,1
219,1,1
2201,1,1
2209,1,1
222,1,1
2227,1,1
223,1,1
226,1,1
22769,1,1
2303,1,1
2322,1,1
23280,1,1
2342,1,1
2347,1,1
23595,1,1
24078,1,1
244,1,1
24555,1,1
24660,1,1
2499,1,1
25,1,1
253,2,1
2535,1,1
2536,1,1
2550,1,1
2556,1,1
25579,1,1
25655,1,1
25893,1,1
2618,1,1
26299,1,1
265,1,1
2651,1,1
26579,1,1
2659,1,1
27,1,1
27185,1,1
274,1,1
27445,1,1
276,1,1
27619,1,1
2770,1,1
278,1,1
2786,1,1
2797,1,1
28,1,1
282,1,1
28227,1,1
285,1,1
28867,1,1
290,1,1
2909,1,1
294,1,1
2982,1,1
3027,1,1
3067,1,1
31,1,1
316,1,1
320,1,1
3240,1,1
3272,1,1
33,1,1
35,1,1
3521,1,1
3526,1,1
356,1,1
3591,1,1
371,1,1
375,1,1
3796,1,1
3835,1,1
39,1,1
4,1,1
402,1,1
4231,1,1
425,1,1
431,1,1
4339,1,1
4444,1,1
456,1,1
461,1,1
4731,1,1
480,1,1
483,1,1
4882,1,1
489,1,1
49,1,1
4921,1,1
4977,1,1
504,1,1
5159,1,1
519,1,1
5274,1,1
5289,1,1
5361,1,1
539,1,1
541,1,1
5453,1,1
5552,1,1
56,2,1
5612,1,1
5726,1,1
579,1,1
5801,1,1
5846,1,1
589,1,1
5986,1,1
6002,1,1
6005,1,1
6006,1,1
6138,1,1
6161,1,1
617,1,1
638,1,1
648,1,1
65,1,1
657,1,1
6573,1,1
6592,1,1
6633,1,1
667,1,1
681,1,1
685,1,1
7,1,1
714,1,1
748,1,1
780,1,1
8177,1,1
82,1,1
829,1,1
83,1,1
8478,1,1
86,1,1
879,1,1
890,1,1
902,1,1
9079,1,1
91,1,1
936,1,1
9379,1,1
95,1,1
96,1,1
977,1,1
979,1,1
980,1,1
982,1,1
