Value,Disaggregation combinations using this value,Number of indicators
Bicycle,1,1
Broadband,1,1
Bus or trolley bus,1,1
Carpooled,1,1
Dial-Up Alone,1,1
Drove alone,1,1
Ferryboat,1,1
Have a Computer,1,1
Have NO Computer,1,1
Internet Access with no Subscription,1,1
"Light rail, streetcar or trolley",1,1
Long-distance/Commuter Train,1,1
Motorcycle,1,1
Other means,1,1
Other Service,1,1
Public transportation (excluding taxicab),1,1
Satellite Service,1,1
Subway or elevated,1,1
Taxicab,1,1
Walked,1,1
With an Internet Subscription,1,1
With No Internet Access,1,1
Worked at home,1,1
