Value,Disaggregation combinations using this value,Number of indicators
Architecture and engineering,1,1
"Arts, design, entertainment, sports, and media",1,1
Building and grounds cleaning and maintenance,1,1
Business and financial operations,1,1
Community and social service,1,1
Computer and mathematical,1,1
Construction and extraction,1,1
Educational instruction and library,1,1
"Farming, fishing, and forestry",1,1
Food preparation and serving related,1,1
Healthcare practitioners and technical,1,1
Healthcare support,1,1
"Installation, maintenance, and repair",1,1
Legal,1,1
"Life, physical, and social science",1,1
Management,1,1
Office and administrative support,1,1
Personal care and service,1,1
Production,1,1
Protective service,1,1
Sales and related,1,1
"Total, all occupations",1,1
Transportation and material moving,1,1
